name,party,Constituency & State,gender,is_nominated,nth loksabha
"Mehta,Shri Jaswantraj",Ind.,Jodhpur (Rajasthan ),male,0,1
"Mehta,Shri Anup Lal",Congress,Bhagalpur cum Purnea-SC (Bihar ),male,0,1
"Mehta,Shri Ashok Ranjitram",PSP,Bhandara (Madhya Pradesh ),male,0,1
"Menon,Shri K.Achuthan Damodara",KMPP,Kozhikode (Madras ),male,0,1
"Minimata Agam Dass Guru,Smt.",Congress,Bilaspur-Durg-Raipur (Madhya Pradesh ),female,0,1
"Mishra,Shri Lalit Narayan",Congress,Darbhanga cum Bhagalpur (Bihar ),male,0,1
"Mishra,Shri Lokenath",Congress,Puri (Odisha ),male,0,1
"Mishra,Shri Mathura Prasad",Congress,Monghyr North-West (Bihar ),male,0,1
"Mishra,Shri Shyam Nandan",Congress,Darbhanga North (Bihar ),male,0,1
"Mishra,Pandit Suresh Chandra",Socialist,Monghyr North-West (Bihar ),male,0,1
"Misra,Shri Bhupendra Nath",Congress,Bilaspur-Durg-Raipur (Madhya Pradesh ),male,0,1
"Misra,Pandit Lingaraj",Congress,Khurda (Odisha ),male,0,1
"Misra,Shri Raghubar Dayal",Congress,Bulandshahar (Uttar Pradesh ),male,0,1
"Misra,Shri Sarju Prasad",Congress,Deoria Distt. South (Uttar Pradesh ),male,0,1
"Missir,Shri Vijneshwar",Socialist,Gaya-North (Bihar ),male,0,1
"Mohd. Akber,Shri Sofi",AJKN,,male,1,1
"Mookerjee,Dr. Shyama Prasad",Jan Sangh,Calcutta South East (West Bengal ),male,0,1
"Morarka,Shri Radheyshyam Ramkumar",Congress,Ganganagar-SC (Rajasthan ),male,0,1
"More,Shri Krishnaji Laxman",Congress,Kolhapur-cum-Satara-SC (Bombay ),male,0,1
"More,Shri Shankarrao Shantaram",PAWPI,Sholapur-SC (Bombay ),male,0,1
"Muchaki Kosa,Shri",Ind.,Bastar-ST (Madhya Pradesh ),male,0,1
"Mudaliar,Shri C. Ramaswami",Congress,Kumbakonam (Madras ),male,0,1
"Muhammad Islamuddin,Shri",Congress,Purnea- North-East (Bihar ),male,0,1
"Mukerjee,Shri Hirendra Nath",CP,Calcutta North East (West Bengal ),male,0,1
"Mukne,Shri Yeshwantrao Martandrao",Congress,Thana (Bombay ),male,0,1
